,title,count
0,NLB015569_01,36.0
1,NLB074038_01,20.0
2,NLB074246_02,20.0
3,NLB075379_01,18.0
4,NLB072968_01,18.0
5,NLB074575_01,17.0
6,NLB071227_01,16.0
7,NLB076130_07,15.0
8,NLB075057_01,15.0
9,NLB075525_01,14.0
10,NLB112123_01,13.0
11,NLB070360_01,13.0
12,NLB075325_02,13.0
13,NLB076632_01,13.0
14,NLB073311_01,13.0
15,NLB073404_01,13.0
16,NLB073743_01,13.0
17,NLB134389_01,12.0
18,NLB145525_01,12.0
19,NLB075309_02,12.0
20,NLB072895_01,12.0
21,NLB075158_01,12.0
22,NLB073862_01,12.0
23,NLB074004_01,12.0
24,NLB075325_01,12.0
25,NLB072286_01,11.0
26,NLB070078_01,11.0
27,NLB072837_01,11.0
28,NLB070996_01,10.0
29,NLB072285_01,10.0
30,NLB074156_03,10.0
31,NLB072559_01,10.0
32,NLB070535_01,10.0
33,NLB146741_01,10.0
34,NLB072287_01,10.0
35,NLB072898_02,10.0
36,NLB073339_01,10.0
37,NLB072306_01,10.0
38,NLB072497_01,10.0
39,NLB075184_01,10.0
40,NLB072886_01,9.0
41,NLB073120_01,9.0
42,NLB072624_01,9.0
43,NLB072774_02,9.0
44,NLB073588_01,9.0
45,NLB072898_01,9.0
46,NLB070732_01,9.0
47,NLB072627_01,9.0
48,NLB070693_01,9.0
49,NLB072614_01,9.0
50,NLB076495_01,9.0
51,NLB152778_01,8.0
52,NLB072886_02,8.0
53,NLB072299_01,8.0
54,NLB070521_01,8.0
55,NLB072883_01,8.0
56,NLB162519_01,8.0
57,NLB072500_01,8.0
58,NLB072587_02,8.0
59,NLB072813_01,8.0
60,NLB070748_01,8.0
61,NLB073304_01,8.0
62,NLB071014_01,8.0
63,NLB075064_01,7.0
64,NLB073298_01,7.0
65,NLB071666_01,7.0
66,NLB073393_01,7.0
67,NLB074003_01,7.0
68,NLB076118_01,7.0
69,NLB073333_01,7.0
70,NLB073939_01,7.0
71,NLB072003_01,7.0
72,NLB075742_01,7.0
73,NLB072862_01,7.0
74,NLB075551_01,7.0
75,NLB070238_01,6.0
76,NLB075831_01,6.0
77,NLB076625_01,6.0
78,NLB072587_01,6.0
79,NLB072311_01,6.0
80,NLB074246_01,6.0
81,NLB152784_01,6.0
82,NLB075739_03,6.0
83,NLB074954_01,6.0
84,NLB074157_01,6.0
85,NLB072881_01,6.0
86,NLB073046_01,6.0
87,NLB073269_02,6.0
88,NLB075021_01,6.0
89,NLB071369_01,6.0
90,NLB072897_01,6.0
91,NLB073672_01,6.0
92,NLB072565_01,6.0
93,NLB070526_01,6.0
94,NLB072647_01,6.0
95,NLB073681_01,6.0
96,NLB073326_01,6.0
97,NLB075063_01,6.0
98,NLB075848_01,6.0
99,NLB073929_01,6.0
100,NLB146608_01,6.0
101,NLB074349_01,6.0
102,NLB144100_01,6.0
103,NLB073992_01,6.0
104,NLB074216_01,6.0
105,NLB074468_01,5.0
106,NLB072505_01,5.0
107,NLB074426_02,5.0
108,NLB072254_01,5.0
109,NLB135273_01,5.0
110,NLB075156_01,5.0
111,NLB073331_01,5.0
112,NLB074860_01,5.0
113,NLB073990_01,5.0
114,NLB070141_01,5.0
115,NLB075616_01,5.0
116,NLB072721_01,5.0
117,NLB076076_01,5.0
118,NLB073804_02,5.0
119,NLB073076_01,5.0
120,NLB074769_01,5.0
121,NLB074378_02,5.0
122,NLB134480_01,5.0
123,NLB074308_01,5.0
124,NLB072664_01,5.0
125,NLB074433_01,5.0
126,NLB073287_02,5.0
127,NLB074007_01,5.0
128,NLB070079_01,5.0
129,NLB074547_02,5.0
130,NLB071016_01,5.0
131,NLB070493_01,5.0
132,NLB071441_01,5.0
133,NLB075367_01,5.0
134,NLB073150_01,5.0
135,NLB070053_01,5.0
136,NLB073994_01,5.0
137,NLB070144_01,4.0
138,NLB072638_01,4.0
139,NLB074333_01,4.0
140,NLB072450_01,4.0
141,NLB073788_01,4.0
142,NLB072237_01,4.0
143,NLB074470_01,4.0
144,NLB075881_02,4.0
145,NLB072289_01,4.0
146,NLB074452_01,4.0
147,NLB075167_01,4.0
148,NLB075079_01,4.0
149,NLB074161_01,4.0
150,NLB075771_02,4.0
151,NLB073287_01,4.0
152,NLB072256_01,4.0
153,NLB076271_01,4.0
154,NLB072355_01,4.0
155,NLB167193_01,4.0
156,NLB072871_01,4.0
157,NLB072103_01,4.0
158,NLB074277_01,4.0
159,NLB071669_01,4.0
160,NLB075176_01,4.0
161,NLB075273_01,4.0
162,NLB072357_01,4.0
163,NLB075035_01,4.0
164,NLB071974_02,4.0
165,NLB075906_01,4.0
166,NLB072085_01,4.0
167,NLB071478_01,4.0
168,NLB073754_02,4.0
169,NLB074286_01,4.0
170,NLB070122_01,4.0
171,NLB074328_01,4.0
172,NLB076258_01,4.0
173,NLB141649_01,4.0
174,NLB072967_01,4.0
175,NLB145856_01,4.0
176,NLB075318_01,4.0
177,NLB072283_01,4.0
178,NLB073324_01,4.0
179,NLB076211_01,4.0
180,NLB072255_01,4.0
181,NLB073225_01,3.0
182,NLB074603_01,3.0
183,NLB074048_02,3.0
184,NLB074437_01,3.0
185,NLB072823_01,3.0
186,NLB075612_01,3.0
187,NLB144042_01,3.0
188,NLB072708_01,3.0
189,NLB074769_02,3.0
190,NLB074649_01,3.0
191,NLB073374_01,3.0
192,NLB074583_01,3.0
193,NLB074342_01,3.0
194,NLB073225_02,3.0
195,NLB072690_01,3.0
196,NLB072284_01,3.0
197,NLB074533_01,3.0
198,NLB070839_01,3.0
199,NLB071064_01,3.0
200,NLB075059_01,3.0
201,NLB071958_01,3.0
202,NLB075307_03,3.0
203,NLB073562_01,3.0
204,NLB072754_01,3.0
205,NLB075635_01,3.0
206,NLB125421_01,3.0
207,NLB074593_01,3.0
208,NLB073771_02,3.0
209,NLB073296_01,3.0
210,NLB070134_01,3.0
211,NLB074227_01,3.0
212,NLB073628_01,3.0
213,NLB074938_01,3.0
214,NLB074261_01,3.0
215,NLB075018_02,3.0
216,NLB076426_01,3.0
217,NLB075191_01,3.0
218,NLB075034_01,3.0
219,NLB073426_01,3.0
220,NLB073639_01,3.0
221,NLB070137_01,3.0
222,NLB070089_01,3.0
223,NLB112210_01,3.0
224,NLB073483_01,3.0
225,NLB075040_01,3.0
226,NLB072851_02,3.0
227,NLB073879_02,3.0
228,NLB074276_01,3.0
229,NLB070463_01,3.0
230,NLB074427_01,3.0
231,NLB075313_01,2.0
232,NLB072567_01,2.0
233,NLB074443_01,2.0
234,NLB074309_01,2.0
235,NLB072441_01,2.0
236,NLB074334_01,2.0
237,NLB070606_01,2.0
238,NLB073775_02,2.0
239,NLB073286_01,2.0
240,NLB073031_01,2.0
241,NLB076128_01,2.0
242,NLB075068_01,2.0
243,NLB074390_01,2.0
244,NLB147463_01,2.0
245,NLB074552_01,2.0
246,NLB074182_01,2.0
247,NLB072288_01,2.0
248,NLB112233_01,2.0
249,NLB074962_01,2.0
250,NLB073866_01,2.0
251,NLB073709_01,2.0
252,NLB072482_01,2.0
253,NLB144072_01,2.0
254,NLB070125_01,2.0
255,NLB076740_01,2.0
256,NLB074028_01,2.0
257,NLB072360_01,2.0
258,NLB070740_01,2.0
259,NLB074260_02,2.0
260,NLB072358_01,2.0
261,NLB071944_01,2.0
262,NLB074100_01,2.0
263,NLB074672_01,2.0
264,NLB073210_01,2.0
265,NLB072665_01,2.0
266,NLB072457_01,2.0
267,NLB072691_01,2.0
268,NLB072714_01,2.0
269,NLB111484_01,2.0
270,NLB072356_02,2.0
271,NLB074948_01,2.0
272,NLB070492_01,2.0
273,NLB073777_01,2.0
274,NLB070411_01,2.0
275,NLB070475_01,2.0
276,NLB074613_02,1.0
277,NLB076303_01,1.0
278,NLB071957_03,1.0
279,NLB074840_01,1.0
280,NLB073803_01,1.0
281,NLB072688_01,1.0
282,NLB073958_01,1.0
283,NLB134474_01,1.0
284,NLB072257_01,1.0
285,NLB141314_01,1.0
286,NLB074077_02,1.0
287,NLB073685_01,1.0
288,NLB073997_01,1.0
289,NLB075013_01,1.0
290,NLB073895_01,1.0
291,NLB072585_01,1.0
292,NLB074840_02,1.0
293,NLB072253_01,1.0
294,NLB073750_01,1.0
295,NLB074754_01,1.0
296,NLB071082_01,1.0
297,NLB073626_01,1.0
298,NLB141648_01,1.0
299,NLB073146_01,1.0
